GeoAreaName,Sex,Units,AUD%,LegalAge,Notes
Afghanistan,BOTHSEX,PERCENT,0.4,Prohibited,
Albania,BOTHSEX,PERCENT,5.9,18,Consumption in public places by those under 18 is prohibited.
Algeria,BOTHSEX,PERCENT,0.8,18,None for consumption
Andorra,BOTHSEX,PERCENT,5.9,18,Consumption in public places by those under 18 is prohibited.
Angola,BOTHSEX,PERCENT,6,18,18 in Luanda
Antigua and Barbuda,BOTHSEX,PERCENT,6.5,16,(none off-premise)
Argentina,BOTHSEX,PERCENT,6.8,18,None for consumption
Armenia,BOTHSEX,PERCENT,5.7,18,
Australia,BOTHSEX,PERCENT,4.4,18,*Exceptions may apply if accompanied by a responsible adult.
Austria,BOTHSEX,PERCENT,12,18,"On- and off-premise, consumption: 18 for spirits, 16 for other alcohol beverages
Each federal state prohibits sale of alcohol beverages to anyone under 16 years of age. 
Carinthia, Lower Austria, Upper Austria, Salzburg, Styria, Tirol, and Voralberg also prohibit sale of spirits and mixed drinks (whether pre-mixed drinks or cocktails) to anyone under 18 years of age."
,,,,16,
Azerbaijan,BOTHSEX,PERCENT,6,18,none for consumption
Bahamas,BOTHSEX,PERCENT,6.7,18,none for consumption
Bahrain,BOTHSEX,PERCENT,1.6,None,others
,,,,Prohibited,Muslim
Bangladesh,BOTHSEX,PERCENT,0.8,21,Sale is prohibited except to holders of a permit from the Department of Narcotics Control over the age of 21; Muslims may only obtain a consumption permit for medical reasons.
Barbados,BOTHSEX,PERCENT,6.7,18,none for consumption
Belarus,BOTHSEX,PERCENT,18.8,18,none for consumption
Belgium,BOTHSEX,PERCENT,8.1,18,"on- and off-premise, supply: 18 for distilled beverages of higher than 1.2%ABV and fermented beverages of higher than 22%ABV; 16 for other alcohol beverages"
,,,,16,
Belize,BOTHSEX,PERCENT,7.3,18,none for consumption
Benin,BOTHSEX,PERCENT,6.4,20,none for consumption
Bhutan,BOTHSEX,PERCENT,2.1,18,none for consumption
Bolivia (Plurinational State of),BOTHSEX,PERCENT,6.7,18,Consumption of alcohol beverages without food in the company of minors under 18 years of age is prohibited in public places.
Bosnia and Herzegovina,BOTHSEX,PERCENT,6,18,none for consumption
Botswana,BOTHSEX,PERCENT,7.1,18,none for consumption
Brazil,BOTHSEX,PERCENT,4.2,18,none for consumption
Brunei Darussalam,BOTHSEX,PERCENT,2.3,Prohibited,"Non-Muslims over 17 years of age are allowed to import alcohol not to exceed maximum total volume 2 L of spirits and 12 330 mL cans of beer for personal use, once in 48 hours. This alcohol must be “stored and consumed at the place of residence of the importer” and is “not to be given, transferred or sold to another person.”"
