GeoAreaName,$2001,$2002,$2003,$2004,$2005,$2006,$2007,$2008,$2009,$2010,$2011,$2012,$2013,$2014,$2015,$2016,$2017,$2018,$2019,$2020
Afghanistan,47.8,45.6,40.6,38.0,36.1,33.3,29.8,26.5,23.3,21.2,20.2,21.1,20.7,20.7,21.5,22.2,23.0,24.0,26.9,29.8
Albania,4.9,6.1,7.5,8.6,8.9,8.8,8.3,7.3,6.3,5.8,5.4,5.1,5.0,5.0,4.9,4.7,4.7,4.6,4.3,3.9
Algeria,8.0,7.3,7.0,7.0,6.7,6.4,5.9,5.6,5.1,4.3,3.8,3.2,3.0,2.9,2.8,2.8,2.7,<2.5,<2.5,<2.5
Andorra,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,67.5,63.2,58.7,55.1,52.2,49.3,46.1,42.9,33.1,23.9,16.4,15.1,14.3,13.7,14.5,15.4,15.4,15.7,17.9,20.8
Anguilla,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Argentina,3.0,3.8,4.5,4.0,3.7,3.4,3.3,3.3,3.2,3.1,2.9,2.8,2.6,<2.5,<2.5,2.6,3.1,3.4,3.5,3.7
Armenia,26.1,24.5,21.1,16.0,12.3,9.3,6.9,5.6,4.4,3.7,3.4,3.2,3.2,2.8,2.8,2.7,2.8,2.9,3.1,3.5
Aruba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5
Austria,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5
Azerbaijan,17.0,13.4,10.4,7.4,4.8,2.8,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5
Bahamas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bahrain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bangladesh,15.9,15.1,14.9,14.4,14.2,13.8,13.9,13.6,14.8,15.2,15.8,15.3,15.0,14.1,14.0,13.3,12.5,11.5,11.0,11.4
Barbados,6.4,6.2,6.7,6.2,6.1,5.3,5.3,4.9,4.5,4.3,4.2,4.4,4.4,4.4,4.3,4.4,4.3,4.1,3.7,3.4
Belarus,<2.5,2.7,3.3,3.3,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5
Belgium,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5
Belize,5.8,5.4,5.5,5.5,5.7,5.8,6.6,7.1,6.9,6.5,6.4,6.8,7.4,7.7,7.8,7.2,7.0,6.7,6.8,7.4
Benin,17.2,15.5,13.7,13.2,12.0,11.0,10.1,9.0,8.8,8.2,7.9,7.6,7.5,7.4,7.3,7.6,7.9,8.1,7.7,7.4
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),27.9,26.9,27.7,27.7,26.8,24.6,23.9,24.7,22.9,20.4,17.3,16.7,16.5,15.6,14.3,13.1,12.5,12.1,11.9,13.9
Bosnia and Herzegovina,3.2,3.0,2.6,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5
Botswana,23.7,24.1,24.5,23.7,22.6,22.3,22.2,22.0,21.9,21.5,21.0,20.3,19.7,19.3,19.6,20.1,21.3,21.5,22.1,21.9
Brazil,10.7,9.3,7.9,6.8,6.5,6.2,5.6,5.1,4.3,3.7,3.2,3.0,2.8,2.5,<2.5,<2.5,<2.5,<2.5,2.6,4.1
Brunei Darussalam,20.0,19.3,18.3,17.7,17.0,16.2,15.2,14.2,12.8,11.4,10.0,9.2,8.4,8.0,7.4,6.8,6.2,5.8,5.8,5.9
Bulgaria,4.0,4.2,4.5,4.9,4.9,5.1,4.6,4.5,4.1,4.0,4.0,3.7,3.2,3.3,3.4,3.5,3.0,2.8,3.0,3.0
Burkina Faso,22.6,20.5,18.6,18.1,17.5,17.1,16.0,15.4,14.1,13.3,12.6,12.2,11.8,11.8,12.0,12.3,12.4,12.7,14.1,18.0
Burundi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
